18,10,1,7,5,2,24,3,22,21,8,13,23,20,6,9,14,4,15,19,16,25,12,11,17
21,4,25,16,24,15,6,11,19,17,14,7,5,10,2,22,12,1,20,18,3,13,23,9,8
13,14,6,3,12,4,7,16,20,10,25,11,9,19,17,2,21,23,8,24,1,5,15,18,22
15,2,8,11,20,9,12,23,5,13,24,1,18,22,16,17,3,10,6,25,4,21,7,14,19
9,17,23,19,22,1,18,25,8,14,3,21,12,4,15,5,16,13,11,7,2,24,20,6,10
20,22,16,21,9,6,5,2,11,12,13,15,4,1,23,3,25,18,10,17,8,7,19,24,14
3,6,12,2,4,7,15,20,18,8,5,17,25,16,21,24,9,14,19,22,13,1,11,10,23
5,23,11,14,10,13,1,4,25,24,22,19,3,9,7,20,2,8,12,15,18,16,6,17,21
1,8,18,13,7,3,9,17,10,19,11,2,6,24,14,4,5,16,23,21,12,15,22,25,20
19,25,24,15,17,16,14,21,23,22,18,12,10,8,20,7,13,6,1,11,9,2,3,4,5
17,5,13,10,1,12,2,14,9,11,4,6,21,7,3,25,22,15,16,8,19,20,24,23,18
6,9,7,4,11,10,3,1,24,23,2,5,16,18,22,12,19,17,21,20,14,8,25,13,15
8,15,3,20,2,5,4,7,13,6,1,9,11,25,19,18,23,24,14,10,21,22,17,16,12
16,18,14,12,19,8,17,22,21,25,20,23,24,15,13,6,4,2,3,1,11,10,5,7,9
23,24,22,25,21,18,20,19,16,15,17,10,8,14,12,13,11,9,7,5,6,3,2,1,4
2,12,15,1,14,11,13,9,3,4,10,8,7,6,5,19,17,20,18,16,24,23,21,22,25
11,7,4,5,3,14,10,8,6,2,9,25,17,21,1,23,24,22,13,12,20,19,18,15,16
10,16,9,6,8,21,25,24,1,5,19,20,22,23,18,15,7,3,2,4,17,14,13,12,11
22,20,17,18,13,23,19,15,12,7,16,4,2,3,24,11,1,21,25,14,10,9,8,5,6
25,19,21,24,23,20,22,18,17,16,15,14,13,12,11,10,8,5,9,6,7,4,1,2,3
12,11,10,9,6,22,8,5,4,3,21,18,1,2,25,14,20,7,24,23,15,17,16,19,13
14,13,5,22,18,19,21,6,2,1,23,24,20,17,10,16,15,12,4,3,25,11,9,8,7
24,21,20,17,15,25,23,10,7,9,12,16,14,11,8,1,18,19,5,13,22,6,4,3,2
4,3,19,23,16,24,11,12,14,20,7,22,15,13,9,8,6,25,17,2,5,18,10,21,1
7,1,2,8,25,17,16,13,15,18,6,3,19,5,4,21,10,11,22,9,23,12,14,20,24
2,5,10,13,19,1,11,20,14,6,9,12,15,7,18,3,17,16,22,25,4,8,21,23,24
18,1,16,6,7,9,10,4,5,19,2,3,21,14,13,11,8,15,23,24,17,22,12,25,20
8,17,22,9,14,2,24,15,21,18,1,4,25,6,23,5,12,10,13,20,3,7,11,16,19
21,4,3,23,24,12,16,22,13,25,17,8,11,20,5,1,7,14,9,19,2,6,10,15,18
11,12,15,20,25,17,3,7,23,8,10,16,22,19,24,2,4,6,21,18,1,5,9,14,13
3,2,1,16,8,11,15,10,7,4,12,18,5,21,6,17,13,19,14,9,24,23,22,20,25
6,22,5,4,9,3,1,2,20,12,11,24,7,23,25,16,18,21,10,8,14,15,19,13,17
7,11,12,15,17,6,5,14,8,13,3,2,1,4,19,22,24,25,20,23,21,18,16,9,10
13,18,19,14,10,25,23,21,9,24,22,17,20,8,16,15,1,2,3,4,11,12,5,6,7
24,23,21,25,20,22,18,19,16,17,14,15,9,13,10,12,11,5,6,7,8,1,2,3,4
1,16,9,2,3,14,13,12,11,10,8,7,6,5,4,18,15,20,19,17,22,21,25,24,23
12,7,11,10,4,15,8,9,6,5,24,21,2,3,1,25,23,22,16,13,18,17,20,19,14
17,8,6,5,18,7,2,1,4,3,25,23,19,22,20,24,21,11,12,14,13,16,15,10,9
14,15,20,19,13,24,21,25,22,23,18,10,17,16,9,7,2,1,4,3,12,11,6,5,8
22,21,25,24,23,20,19,18,17,16,15,14,13,12,11,10,9,8,5,6,7,2,1,4,3
19,20,17,18,15,10,9,8,1,7,5,6,4,2,3,14,16,13,11,12,23,25,24,21,22
4,6,2,3,5,16,14,13,12,11,7,1,10,9,8,21,25,23,24,22,19,20,17,18,15
9,10,7,8,1,4,6,5,3,2,21,25,23,24,22,20,19,17,18,15,16,13,14,11,12
16,13,14,11,12,21,25,23,24,22,19,20,18,17,15,6,3,4,1,2,9,10,7,8,5
23,25,24,21,22,19,20,17,18,15,16,13,14,11,12,9,10,7,8,5,6,3,4,1,2
20,19,18,17,16,8,7,6,10,9,4,5,3,1,2,13,14,12,15,11,25,24,23,22,21
5,3,4,1,2,13,12,11,15,14,6,9,8,10,7,23,22,24,25,21,20,19,18,17,16
10,9,8,7,6,5,4,3,2,1,23,22,24,25,21,19,20,18,17,16,15,14,13,12,11
15,14,13,12,11,23,22,24,25,21,20,19,16,18,17,4,5,3,2,1,10,9,8,7,6
25,24,23,22,21,18,17,16,19,20,13,11,12,15,14,8,6,9,7,10,5,4,3,2,1
